"- Austauschmöglichkeit- die Arbeit wird zitierbar (wäre gut wenn die Syntaxen eine DOI bekommen, s. figshare.com)","- so gut wie keine (die einzige Sorge wäre, dass die aufbereiteten Daten nicht zitiert werden sondern einfach ""übernommen"" werden- dazu kann man aber technisch beim Download Kontrollmechanismen einbauen)."
"Mehr wissenschaftliche Transparenz und Integrität. Vermeiden, dass mehrere Leute immer wieder ""das Rad neu erfinden""","Benutzung der Daten für nicht vorab abgesprochene Fragestellungen. Benutzung der Daten für Fragestellungen, die von den principal investigators des Projekts bearbeitet werden möchten."
"Tit for tat","eigene Fehler im Syntax ungeprüft weitergeben"
"Überprüfbarkeit von durchgeführten Studien; Austausch über ähnliche Forschungsprojekte","Womöglich Angst, dass ich irgendwo selbst einen Fehler gemacht habe, den ich nie entdeckt habe und den ein anderer entdeckt. Daher fände ich den persönlichen Austausch angenehm, in dem man sich möglicherweise gegenseitig mit ähnlichen Anliegen unterstützt."
"Replication, transparency, collaboration","None"
"Das ist eine Grundvorraussetzung wissenschaftlicher Arbeit. Der derzeitige Zustand ist ein Skandal.","Plagiate"
"Verbesserung der Wissenschaft","Urheberrechtsverletzungen"
"Transparenz, Überprüfung durch andere, Wissentransfer","Datenmissbrauch"
"Consistency in measures across studies to test robustness of effects. Collaboration to ease tasks that have already been done.","Only one-sided exchanges."
,"Grundsätzlich keine. Da ich aber die Daten nicht mit SOEP-Info, sondern über SOEP-Long ziehe, fällt das für micht weg."
"Feedback und Austausch","""Angst"" vor schlechtem Feedback"
"Ich möchte Skripte von anderen nutzen, also muss ich auch denen etwas zur Verfügung stellen.","Restriktionen der Ethikkomission.Ich möchte wissen, wer meine Daten nutzt."
,"evtl. Unsicherheiten bei der Erstellung von Skripten"
"Hilfestellung für andere NutzerAustausch mit Nutzern,die ähnlichen Forschungsfragen nachgehenKlarheit über bsiherige Nutzung der SOEP-Daten (d.h. welche Forschungsfragen wurden mit den SOEP-Daten bereits beantwortet)","Nutzer können bei Übernahme der Skripte etc. diese als eigene ausgeben"
"Hilfe für andere","Keine"
"So könnten langfristig Bibliotheken für Analysearten und -methoden entstehen","Hoher Dokumentations- bzw. Pflegeaufwand, wenn sichergestellt werden soll, dass die Analyse auch mit zukünftigen Versionen funktionieren soll. Siehe z.B. der Aufwand bei Bereitstellung von R-Paketen via CRAN"
"wiss. Nachvollziehbarkeit/Überprüfung; Nachfragen; Unterstützung (wenn ich profitiere, sollte ich auch teilen)","bin nicht sicher, ob seitens meiner Institution erwünscht"
"Transparenz, Replizierbarkeit","Mögliches ""free-riding"""
"Ein Motiv wäre, dass ich kontrolliert werde, ob ich die Auswertungen ""richtig"" ausgewertet habe und ob ich einen wichtigen Punkt nicht beachtet werde. Und andere Motive wäre, anderen schon mal einen Teil deren Aufgabe, erledigt zu haben oder mit meinen Anfangsbearbeitungen fortzufahren.","Das die Auswertung komplett/teilweise falsch ausgewertet sind oder ich falsche Methoden der Analysen gewählt habe."
"maybe it is of help to someone else (does not need to do exactly the same work)","I think there is a risk that it is unclear to a new user what is exactly in the dataset, so I would prefer scripts to datasets. Furthermore, I would think that it is hard to make a search engine that finds exactly the dataset you need. So, then you still would have to make your own data set."
"ich bin für ein offenes Klima in der Wissenschaft!","Der zusätzliche Arbeitsaufwand schreckt mich ab."
"Qualitätssicherung","Ich habe viel Arbeit darein gesteckt, die erst in Veröffentlichungen honoriert wird. Vorher würde ich keine Skripte einstellen."
"Austausch / Anregungen",
"Wie erwähnt, für R scheint mir der Support noch nicht so groß zu sein. Das ist schade, gerade auch, weil ich denke, dass R in Zukunft immer wichtiger wird. Es ist kostenlos und Open Source und verfügt bereits über eine recht aktive Community.","Eigentlich keine. Der Datenschutz müsste gewährleistet sein. Ggf. wäre es besser unter einem Pseudonym auftreten zu können, wie man das aus anderen Foren kennt. Dann kann man auch anonym teilnehmen."
"warum nicht?","zum Serviceleister, Dauerauskunftei zu werden"
,"Zeitaufwand"
,"Da steckt sehr viel Arbeit drin. Eine Veröffentlichung auf Basis kopierter Analysen ist nicht wirklich eigenständig. Ich sähe hier das Urheberrecht verletzt."
"Transparenz","Keine Bedenken"
"if data cleaning/reorganization has already been done by me, I would be happy to save someone else's time and share it","getting too many questions if the population who is accessing it is not competent enough to understand the work done"
,"Would not want my research goals, plans to be 'scooped'"
"Transparenz und Replizierbarkeit von Analysen bei Publikationen sicherstellendabei durch andere auf Denkfehler hingewisen werden",
"Doppelarbeiten vermeiden. Man selbst sucht ja auch immer danach, ob jmd. anderes ""so etwas"" schon mal gemacht hat. Man selbst profitiert ja schließlich potentiell auch. Außerdem könnte man sich auf dem Wege auch Kontakt mit bisher ""Unbekannten"" knüpfen und ggf. gemeinsam an einem Thema weiterarbeiten.","Das die Daten und Skripte ohne Kennzeichnung ihres Ursprungs genutzt werden u ggf. sogar Streitigkeiten enstehen könnten, ""wer sie zuerst"" hatte. Daher auch ""nur auf Anfrage"", also über ""persönlichen"" Kontakt."
,"Verlust von Wettbewerbsvorteilen gegenüber anderen Wissenschaftlern"
"Skripte: Informationsaustausch (Anderen Hilfestellung geben; Selbst Anregungen oder Hilfe erhalten); Bessere Transparenz der Analysen","Keine"
"Nachvollziehbarkeit wissenschaftlichen Arbeitens.","Dass die fertigen Skripte einfach genutzt werden, um eigene Analysen durchzuführen und zu publizieren."
"1. Hilfestellung, 2. Transparenz und 3. allgmeiner Beitrag wissenschaftlichen Arbeitens (der schließlich aus Steuergeldern finanziert wird)","Einzig und allein ein mögliches Fehlverhalten mit solchen Informationen durch andere."
"Möglichkeit der Replikation, Reproduktion","Bedenken nur solange die Daten noch nicht final ausgewertet und die Resultate noch nicht publiziert sind"
"allgemeiner Austausch unter Nutzern; Zeit- und Kostenersparnis für Dritte","bei beträchtlichem Mißbrauch - wenn Quelle nicht angegeben wird"
"Für meine Masterarbeit brauchte ich eine Variable für [...] und musste diese mit einiger Arbeit erstellen. Da es mit Sicherheit viele SOEP-Nutzer gibt, die ähnliche Variablen benötigen und vieles von verschiedenen Leuten mehrmals erstellt wird, macht es nur Sinn, diese Erfahrungen und das Wissen zu teilen und sich somit unnötige Arbeit zu sparen.","Es gibt keine Dokumentation zu diesen Skripten, weshalb allein auf Basis des Do-Files verstanden werden muss, wie vorgegangen wurde. Die Logiken des Do-Files sind oftmals subjektiv und deshalb nicht immer für jeden sofort verständlich, was zu Missverständnissen führen kann. Eine Erläuterung zu den Daten oder Skripten wäre somit sinnvoll."
"TransparenzReplizierbarkeitWissenschaftliche Ethik","Datenschutzrichtlinien des SOEPDatenschutzgesetze"
"eine breitere Datenbasis und wechselseitige Kritik","keine"
"Gegenseitige Hilfestellung der SOEP-Nutzer, Vermeidung unnötiger Doppelarbeiten, Feedback, Hinweise und Verbesserungen der eigenen Scripte durch andere Nutzer",
"um anderen Nutzern Arbeit zu ersparen, indem Analyse-Skripte bereitsa vorhanden sind und einen regen Austausch zu erreichen",
,"Öffentliche Exponiertheit meines Arbeitgebers"
"Wissenschaftl. Selbstverständnis: Kriterium von Wissenschaftlichkeit ist Öffentlichkeit bzw. Nachvollziehbarkeit.","Keine. Aber mit Einschränkung, nur auf Anfrage, um zu viele nicht ernsthaft gemeinte Anfragen zu Programmcode und/oder Daten zu vermeiden."
"schlicht: gegenseitiges Geben und Nehmen. Warum sollte jemand nicht von meinem Forschreiten profitieren?Ich profitiere ja auch von anderen!",
"Beitrag zu guter wissenschaftlicher Praxis und Kollegialität","Mehraufwand bei Aufbereitung der Dateien"
"Replikation von Studien",
,"The scripts that I've used were very basic and definitely are available on the inter web for public use."
"So sollte Wissenschaft funktionieren --> transparenter Austauschprozess","keine; die Daten sind meist so interessant nicht, als dass jemand Missbrauch damit betreiben könnte..."
"- Lerneffekt- vereinfachte Datenanalyse durch bereits vorhandene Skripte- Effizienzsteigerung von Forschung","- Organisatorische Bestimmungen innerhalb unseres Instituts"
"Interesse an den inhaltlichen Ergebnissen, Vergrößerung der Community der Datennutzer im Bereich",
"Replikation!!!","Eventuell will man mit einem Datensatz mehrere Artikel publizieren und daher die Daten nicht rausgeben."
"Altruismus und Menschenfreundlichkeit","Konkurrierenden Instititionen eine zu weitgehende Unterstützung zu geben."
,"Arbeitsaufwand"
"Austausch mit vergleichbaren oder auch unterschiedlichen Herangehsenweisen an o.g.Forschungsbvereiche zu erkunden.","Meist die noch nicht vollständig abgeglichenen Daten mit anderen Akteuren, die eine mögliche Referenzgebung erschweren."
"Hier müsste ich weiter überlegen, das kann ich jetzt nicht.","Hier müsste ich weiter überlegen, das kann ich jetzt nicht."
,"Es handelt sich um eine Eigenleistung, die von anderen ohne Zitation/Honorierung übernommen werden kann."
"Austausch mit anderen Wissenschaftlern, Kennenlernen anderer Arbeitsweisen, Zeitersparnis für Teilreplikationen","Nutzung müsste dokumentiert und zitiert werden, meine Bedenken, dass das nicht geschieht sind relativ groß"
"I am using the result of a important data collection at almost no charge, I would be happy to reciprocate.",
"Transparenz der Forschungsergebnisse","Frühere Publikation der gleichen Ergebnisse"
"leichtere Replizierbarkeit meiner Ergebnisse","weitere Publikationswünsche auf der Basis eigener Skripte"
,"Chance that data manipulation procedures not fully understood from code leading to misinterpretation of derived variables etc."
"Wissenschaftlicher Erkenntnisgewinn","Geistiges Eigentum"
"V.a. Skripte sind oft Fleißarbeit - ich hätte mir manchmal gewünscht bereits fertige Skripte zur Datenaufbereitung zur Verfügung zu haben um Zeit zu sparen. Außerdem hilfreich, um Ergebnisse nachzuvollziehen.",
"Research should be open and honest","None"
"support each other's work",
,"hohe Zeitinvestition, geistiges Eigentum"
"quid pro quo",
,"Ich habe öfter erlebt dass andere Wissenschaftler Dinge von mir benutzt haben ohne mich zu zitieren. Ich teile gern aber man sollte den ""Credit"" auch dem geben dem er zusteht."
"wissenschfatlicher Austausch; Nutzung anderer Skripte; Kennenlernen der SOEP-Comunity; Möglichkeit eingene Fragen einrbingen zu können und ggf. auch eigene Analysen/Intepretationen zur Diksussion zu stellen","Missbracuh der Daten; Weitergabe der Daten; Plagiate (v.a. bei noch nicht publizierten Analysen/Dokumenten)"
"Ich wäre bereit meine Skripte zur Verfügung zu stellen, wenn ich dadurch selbst Zugriff auf Skripte anderer Nutzer bekommen könnte.",
"Oeffentliches Gut, Reproduzierbarkeit","keine"
,"none, with appropriate citation of course"
"hoher Innovationsgrad und Relevanz für andere Nutzer","Ist eine Zustimmung des Arbeitgebers erforderlich?"
"Zusammenarbeit mit Personen mit vergleichbaren Fragestellungen","vielleicht muß man das einmal ausprobieren, um die Vorbehalte zu entkräften"
"Transparenz/ intersubjekte Nachvollziehbarkeit","Mein Wissen um Operationalisierung und Analyse sind mein Kapital."
"To further international research on [...].","I would want to be able to delete or update my own materials in case I discover an error in my script or coding and want to be able to upload a corrected version."
"Save resources by avoiding that others do the same work twice (of course I would also expect to profit from the uploads from other  users).","Who controls the quality of scripts?"
"- Vereinfachung der Arbeit anderer- Detaileinsicht in Kodierungen- Re-Analyse",
"- Transparenz- Reproduzierbarkeit- Austausch mit anderen Wissenschaftlern zu ähnlichen Themen","- gibt keine Bedenken"
,"jemand anderer ist schneller im Publizieren meiner Idee"
"Transparencyhelp othersreduce collective workload","none"
"- Möglichkeit für Austausch und Kooperation","- keine weitere Kontrolle über entsprechende Infos- Bedenken, dass eigene Arbeit ""verwertet"" wird, ohne dass man selbst etwas davon hat"
"Austausch, Zugang zu Skripten anderer, Peer-Learning","Sorge, fehlerbehaftete Skripts zu teilen"
"Replizierbarkeit",
"Gedanken- und Methodenaustausch","Missbrauch"
"Wissen teilen, konstruktive Zusammenarbeit","Unsicherheiten hinsichtlich Datenschutz, rechtl. Beschränkungen etc."
"Transparenz, Austausch, Feedback","Langatmige Diskussionen über Kleinigkeiten bei Recodierungsentscheidungen o.ä."
"Ist gute Wissenschaftspraxis",
"Weiterentwicklung","Urheberrechtsbedenken"
"Contribute to the public good and save costs on others.Replication is essential in scientific research","Misuse"
"to diffuse knowledge and experience","no concerns"
"wissen und ""nicht-wissen"" sollte grundsätzlich frei zugänglich und nachvollziehbar sein open source für nicht rein kommerzielle Zwecke ist erstrebenswert","keine, allerdings unterliegen selbst erhobene Daten oftmals auch datenschutzrechtlichen Bestimmungen..."
,"Im Falle der Daten: Datenschutzrechtliche Bedenken"
"geben-und-nehmen-Gedanke: Oft arbeiten unterschiedliche Forscher an selben Daten-Problemen. Lösungen anderer können einem selbst helfen, als Gegenzug sollte man eigene Lösungen zur Verfügung stellen","Plagiate und Ideenklau."
"To ease the access and use of the data",
"Keine","Keine"
"Feedback von anderen, Anregungen für mich und für andere","Missachtung des Copyright"
,"Unkenntnis"
"Nachvollziehbarkeitd er eigenen Ergebnisse. Austausch und zukünftige Kooperation",
"Wissensverbreitung und Kontaktküpfung zur nichtakademischen Öffentlichkeit. Es gibt ja einige gute Vorbildseiten, auf denen wissenschaftliche Erkenntnisse, auch aus den Sozial/-Bevölkerungswissenschaften der breiten Öffentlichkeit in Form von manipulierbaren Grafiken und Tabellen zur Verfügung gestellt werden.",
"Validation and sharing of others","none"
"transparancy, replication",
"Open Source finde ich gut","Plagiate"
"I am happy to make my codes public when the paper is accepted for publication.","I think it is important to be acknowledged properly."
"miteinander Lernen","Gedankenklau"
"Austausch zwischen Wissenschaftlern",
"Unterstützung der Forschung anderer","Aufwand der Dokumentation"
"Replizierbarkeit der Untersuchung","free-riding"
"knowledge worth spreading","not very cleaned"
"Do ut des","Wenn es keine gegenleistung gäbe"
,"Daten ohne Interpretation und Kontext sind wenig hilfreich"
"TransparenzArbeitserleichterung als Nutzer fremder SkripteLernen von anderenGemeinschaftsgefühl unter den Usern","Viel, viel Arbeit einfach so anderen zu schenken"
"Alle profitieren vom Austausch, wenn das Rad nicht zweimal erfunden werden muss","zeitlicher Aufwand; Vorveröffentlichungen"
"Nachvollziehbarkeit meiner ErgebnisseErleichterung des Einstiegs in dem Umgang mit Daten","Aufwand"
"Publicly available knowledge and collaboration is important to me.","I would probably not share scripts or data that are at a very preliminary stage or that I have not yet taken credit for through a public working paper."
"Solidarität, Fortschritt, Altruismus","Plagiarismus, Nicht-Zitation"
"diffusion",
"To assist other researchers in analysis","Pressure to make scripts available according to deadlines, which may not be possible"
"We all die.","None."
"Transparency, open sourcing,","a) Amount of extra work to generate and postb) Amount of extra work to respond to members of the research community who either want explanation, support, or who just want to vent.  No problem with any who are willing to point out errors and corrections."
"No reason not to! It is always helpful to discuss coding methods.",
"Austausch","Ausnutzung"
,"Work necessary to make my code more useful/readable by others."
,"Bin noch nicht lange im Bereich der Forschung tätig"
"Replizierbarkeit",
"Selbst von anderen zu profitieren.","Skripte können immer Fehler enthalten."
"Ueberpruefbarkeit der Resultate","Keine"
"Es gibt zu wenig Daten - für die ""scientific community"" sollte man als An gehöriger derselben möglichst alles zur Verfügung stellen (was ich leicht sagen kann, da ich mich nicht mehr profilieren muss).","Die Daten müssten entsprechend anonymisiert sein. Außerdedm frage ich mich, wie Sie partikulare Datensätze ""integrieren"" wollen."
"Da ich aus Steuergelder bezahlt werde, gehören irgendwo auch meine Ergebnisse der Allgemeinheit.",
"gegenseitige Fairness, Doppelarbeit ist überflüssig",
"Studenten + Doktoranden helfen","Herumkriteleien an eigenen Papers"
"Kooperation in wissenschaftlichen Projekten.","Bedenken: es erfolgt keine Berücksichtigung der Arbeit, die wir bereits geleistet haben (in den Acknowledgements oder in Form einer Kooperation)"
"Transparenz und die Möglichkeit voneinander zu lernen und meine Kompetenzen weiterzuentwickeln.","Skripte (do-files) können wahrscheinlich nicht mit den anderer, Wissenschaftler mithalten."
"Überprüfbar- und Reproduzierbarkeit der Ergebnisse sicherzustellen","Selbsterhobene Daten: Zeit und Kostenaufwand der Erhebung müssen sich zuvor auszahlen (einer der Vorteile einer eigenen Erhebung ist Exklusivität, diesen Vorteil sollte man zuvor nutzen können)."
,"Junge Forscher nehmen Skripte einfach, ohne jedoch die Syntax wirklich zu verstehen. Bei Syntax, die vom Datenproduzenten (siehe auch pairfam) kommt, kann ich das verstehen. Von anderen Forschern jedoch steht das m. E. auf wackeligeren Füßen."
,"Dokumentationsuafwand"
"Transparenz und wissenschaftlicher Austausch","Missbrauch"
"Replikationsmoeglichkeit von Studien. Austausch mit anderen Forschern.",
,"Bei grundlegenden methodischen Aspekten würde das evtl. Sinn machen, z.B. um die Abgrenzung von Grundgesamtheiten nachvollziehen zu können oder einen Analysedatensatz zu generieren. Bei inhaltlichen Auswertungen stecke ich viel Arbeit rein und andere könnten das einfach kopieren."
"At this moment I am not working with SOEP. Otherwise I would have no problem to share data and scripts",
"intersubjektive Nachvollziehbarkeit","-"
"""Pooling"" des Humankapitals. Effizienzsteigerung dadurch, dass nicht jeder dieselben Schritte wiederholt.","Kopie von Forschungsideen"
"Wissenschaftlicher Fortschritt durch Vermeidung von Doppelarbeit und durch bessere Replizierbarkeit von Studien.","Vorschriften des Arbeitgebers bei einigen Projekten."
"Sinnlose Doppelarbeit vermeiden.","Arbeiten für eigene Dissertation notwendig. Deswegen etwaige Weitergabe der Daten/Skripte erst, wenn Dissertation abgeschlossen."
"Austausch, damit nicht jeder immer wieder die gängigen Variablengenerierungen selbst durchführen muss","Ideenklau"
,"Nur schwer interpersonell nachvollziehbare Dokumentation der Syntax"
"Replikation ist entscheidend für kumulativen Wissensgewinn",
"Grundprinzip transpartenter Forschung und Wissensvermehrung","Trittbrettfahrer"
"Das ist good practice. Die Glaubwürdigkeit statistischer Analysen basiert auf ihrer Replizierbarkeit.","Grundsätzlich keine (wenn ethische Kriterien erfüllt sind). Natürlich erst wenn die wenn die Analyse der Daten publiziert ist."
"Freier wissenschaftlicher Austausch und wechselseitiger Nutzen","Wettbewerb/Konkurrenz, Arbeitsaufwand"
"andere davon profitieren lassen","Plagiate?"
"Förderung der Forschung; gegenseitiger Austausch","Erst Austausch wenn die eigenen Analysen publiziert sind"
"Reziprozität","keine"
"Diskussion und Unterstützung innerhalb der scientific community.","... dass jemand meine eigenen Ergebnisse veröffentlicht, bevor ich sie veröffentlicht habe."
"Interesse, auch die Skripte von anderen zu nutzen","Unklarheit über Verwendung"
"Generierung von GemeingüternAufdeckung problematischer Syntax",
"Replizierbarkeit",
"Überprüfbarkeit der eigenen Ergebnisse","Ideenklau"
"I applaud all efforts for research reproducibility.","None!"
"Transparency and information sharing","I have none"
"Kontrollierbarkeit der Ergebnisse, auch von anderen profitieren zu können","Aufwändig"
"Forschung für andere Wissenschaftler einfacher zu machen.","Studenten denken nicht mehr und lassen nur noch fremde skripts laufen."
"NA","NA"
"Das entspricht guter wissenscahftlicher Praxis.","Sofern das Skript NACH der Publikation der wissenschaftlichen Arbeit bereit gestellt wird: KEINE"
"Austausch mit anderen Wissenschaftlern, Weiterentwicklung von Fragestellungen und Analysen","gewisse Gefahr, dass noch in Bearbeitung befindliche Analysen von anderen gemacht und veröffentlicht werden"
"wissenschaftlicher Austausch","nur möglich, soweit die Ergebnisse nicht Eigentum des Auftraggebers sind"
,"Datenschutz"
"Austausch mit anderen Forschern","Möglicher Datenmißbrauch"
"Erhoehte Transparenz",
"Vermeidung von Doppelarbeit.",
"wissenschaftliche Transparenz","Datenschutz"
"I think open access is very important for researchers to foster reproducibility and to prevent researchers to do the same work over and over. Additionally, I may benefit from others who find errors in my code.",
"-","-"
"Anschlussfähigkeit und Vergleichbarkeit der verschiedenen Studien.Kumulation des Wissenszuwachses.","Befürchtung, dass Leute die Quelle nicht ordentlich zitieren."
"Arbeitsteilung",
"To be able to benefit myself from it. There's no need to invent the wheel twice.","I think my codes are way to complicated to be of any use to someone else. Maybe the same holds vice versa that I cannot understand other people's codes."
"Spillover-Effekte.","Keine."
"weitere Forschung in dem Themengebiet zu vereinfachen",
"To help others avoid reinventing the wheel","Volume of enquiries"
"Die Nutzung fremder Daten im Austauch für eigene.","Anonymität"
"Uni-Wissenschaft ist öffentlich",

//Suggested English Translation from translate.google.com // richard.ferrers@monash.edu

"Enablers", "barriers"
"(A) to enable / reinforcement of scientific exchange. (B) replications The hope of the return benefit from other preparatory work." "In older code documentation in hindsight would have to be improved. For new work that would be no problem. "
"Replication, replication"
"A broader data base for researchers'." "The data protection and the time involved in questions of usern."
"Public good", "free riding"
"Progress in the community", "quality assurance"
"Assistance for others and at the same time correcting any mistakes by others", "Privacy"
"Own benefit by this Netztwerk", "data breach"
"Reproducibility own research solidarity", "Privacy Policy (if applicable) concerns of co-authorship Formal barriers (eg if only German syntax comments would be welcome)"
"From the insight into other scripts / data to benefit transparency in research", "scientific projection abandon"
"Exchange on similar issues, for in-depth analysis, you can not even make since no resources are available", "with data from third-party projects would have to clarify this with the donors'
"Provision of data for a user base and application of alternative evaluation methods as well as working on other issues," "The effort to raise a record is immense, even comes to erhben data" "out of fashion". "I do not want to promote this convenience. In addition, I I doubt if I have a separate record for me exhaustively analyzed, before I publish it "
"I personally would be willing to provide data, but I can not usually within the context of each project to decide."
"I can not give an answer because it would decide my boss.", "So"
"# Replication is very important to preserve the quality of research # kummuliertes knowledge leads to faster results (I would use the scripts from other users, especially in manufacturing an event record would have saved me the sooner lot of time). Could # Zitationspflicht the scripts a be an incentive to provide the data, "
"To have made mistakes too high expense, danger"
"Converse, replicability," "Usually inadequate citation of the source"
"Interest in obtaining delivery by other data,"
"- Better Fehlerkontrolle- efficient if all contribute together", "- problem of free riders, some scripts are very time-consuming and expensive"
"In order to get feedback from other scientists. And to make analyzes comparable and replicable." "The fact that my ideas may be used without that reference is made to me."
"Feedbacks, community", "spam"
"Not sure", "use of script without acknowledgment"
"Simplified data analysis for other users", "Error in your own work; lack Kentniss end over end, and users / workers;" "their laurels" "share,"
"Progress comes only through scientific exchange into being", "communication", "thin board drills" ""
"Exchange with other scientists. Compared with the scripts provided by other scientists." "I would only want the scripts to share, if my research project is finished."
"Higher transparency in research", "use of the scripts without acknowledgments"
"Replicability of my own research,"
"For this I do not feel safe enough"
"Description of the data preparation in articles is usually insufficient. You have the wheel does not always reinvent." "Not to be cited."
"Progress", "Privacy"
"- Reproduzierbarkeit- transparency". "- No science should always reproducible, otherwise it is not science"
"NachvollziehbareitReproduzierbarkeit", "defense of the many decisions that need to be taken in the course of data analysis"
"Share knowledge and help others to make oneself perhaps even get help." "Private expenditure is too large; research content is" "stolen" ""
"Peer review is an important part of research, there Should be no obstacles to it.", "No"
"Possibilities of criticism of their own work. Students the opportunity of assignments or Replication to give task." "No doubt!"
"Working with panel data is sometimes difficult, seeing how other have solved a problem 'may be useluf", "i have doubts about others being able to use my work without control from my side"
"I can even benefit from good and learn from others. Why should I exactly the same service also make available to others?" "I would not be me 100% sure as confidential are my content."
"Ways to perform direct comparisons with the analyzes of others."
"- Replicability of scientific standard should be"
"- Austauschmöglichkeit- the work is quotable (would be good if the syntaxes DOI get figshare.com s).", "- As well as no (the only concern would be that the processed data is not cited but simply" taken over " "" werden- this but you can technically install the download control). "
"More transparency and scientific integrity. Avoid that several people again and again" "reinvent the wheel", "", "use the data for non-pre prearranged questions. Use of data for issues that are dealt with by the principal investigators of the project would ".
"Tit for tat", "own mistakes in syntax to pass unchecked"
"Verifiability of the studies; exchange of similar research projects." "Perhaps afraid that I have somewhere made himself a bug I have never discovered and another discovered why I would find personal exchange pleasant, in which one may mutually supported with similar concerns. "
"Replication, transparency, collaboration", "None"
