Author Year,Year,Title,Journal / Book,Keywords,Kind of publication,Abstract (alternatively introduction),Database,Discipline,"Context (unit of investigation, exemplification case)","Method used, if any",Barriers,Enabler & Motivations for Data Sharing (excerpts from the text + page),Expected benefits (excerpts from the text),Expected risks: (excerpts from the text),Coders' decision
Duke 2006,2006,Data: Share and Share Alike,Frontiers in Ecology and the Environment,---,,"
",JSTOR,,,,,,,,no
Sheather 2009,2009,Confidentiality and sharing health information Rights to health care should be balanced with duties to share information for reasonable purposes,BMJ,---,Editorial,---,JSTOR,Medicine/Medicine ethics,,,"Problems begin when those data are required for ancillary uses such as audit, research, care planning, or accounting. The current approach is confused. On the one hand, there is a perception in the research community that the principle of respecting confidentiality is a major impediment to good quality research. For example, as a result of the requirement to seek consent to identify individuals for potential enrolment in research—what has been called “consent for consent”—improvements in health care and technology are said to be withering on the vine. Given that different social groups respond differently to requests for them to participate in research, a consent based approach also leads to fragmentation and bias. p. 1458",,,,"yes, because it has novel ideas"
Fulk et al. 2004,2004,A Test of the Individual Action Model for Organizational Information Commons,Organization Science,Intranet;collective action; public goods; communicationtechnology; informationtechnology,Journal paper,"This research elaborated and empirically tested the individual action component of the collective action model as applied to individual contributions to organizational information commons. The model extended prior theory and research by making six elaborations on the classic collective action model based on unique characteristics of information goods compared to material collective goods. The structural equation model was tested via LISREL analyses of data provided by 781 respondents in three high-tech firms who had access to corporate intranets as shared information goods. The results were highly similar across organizations and indicated that (a) level of production, information retrieval, and cost predicted the perceived value of information, (b) information value and cost predicted gain, and (c) information retrieval and gain predicted the level of individual contributions to the commons.",JSTOR,Organization Science,empirically tested the individual action component of the collective action model as applied T to individual contributions to organizational information common p. 570,"The researchr eportedh ere developsa nd tests a model
of how individual-levefla ctorsi nteractw ith perceptions
of collective action in influencing individuals' motivations
to contributep rivatelyc ontrolledi nformationt o a
collectiver epositor p. 570",,"ContributionsT. he individuala ction componento f collective action models is built on the premise that individuals will contribute more resources to collective action as their personal gain increases (Marwell and Oliver 1993). p. 571

2. Level of Productionfo r InformationG oods [P] Is a FunctionN ot Only of TotalC ontribution(sR ), but Also a Variety of Subjective Factors that Vary Significantly Across Individuals. When collective goods are tangible, the level of production may be highly visible, and thus members of the collective may tend to have similar perceptions of it. They may, for example, see that a fund for a new piece of equipmenth as 50%o f the dollarsn eeded to purchase the equipment, or they may see that new constructioni s approximately7 5% completed.W ithin some small amount of perceptual error, people tend to reach similarc onclusionsa boutl evel of productiono f a tangible collective good. With informationg oods, however,t herea re threer easons that members of the collective may perceive the level of productionq uite differently.F irst, the volume of total informationa nd the numbero f contributortso a collective repository may not be highly visible to users. For example,a lthougho rganizationsm ight make statistics available on who is using an intranet and for what purpose,i n practicet hat kind of informationis not typically available to users or nonusers. p. 572

Individual Cost Also Predicts Individual Value. Marwell and Oliver (1993, pp. 15-18, 27) argue that individual cost and individual value influence each other. p. 573

Retrieval of lnformation by Individuals Impacts Both Their Perceived Value of the Good and Their Contribution Behavior p. 573

The key dynamic in all formulations of public goods theoryi s the predictiono f individualg ains by balancing values against the amount of actual costs of contributing resources. We argued that because contributing information does not reduce individuals' resource pools by equivalent amounts, costs must be considered subjective and not fully predicted by the amount of resources contributed p. 580",,,yes
Guralnick & Constable 2010,2010,VertNet: Creating a Data-sharing Community,BioScience,---,Viewpoint,---,JSTOR,Biological Science,creating a data-sharing community,,,"Success has been achieved through a combination of distributed database technology and a revolutionary change in knowledge about and attitudes toward data sharing and open access (Constable et al. 2010). We argue that the best strategy to ensure long-term, sustainable data-sharing success is to develop a network of people with the knowledge, skills, and tool kits to publish their data and work collaboratively. p. 259

A key part of simplifying the publication process is to consolidate all the data and technology tools onto the “cloud.” Cloud computing leverages third-party, dynamically scalable, and often virtualized computing resources. Think of the cloud as a very large, always growing, Internet- based data center. p. 260

As VertNet moves into this new stage of development, we plan to dramatically diversify and grow our training process. Past workshops for the community focused mainly on researching historical collection data, georeferencing and data standards, geography, maps, Internet resources, and geographic information systems. Future courses will include previous training material plus education in research applications, basic database concepts, schemas, metadata collection, network technologies, and the technical architecture behind the resources. These workshops will help spread the knowledge necessary to more effectively maintain and grow our networks, thus greatly alleviating expertise bottlenecks, and will provide a much-needed but currently unavailable program in biodiversity informatics education. We will also include undergraduate internships to introduce students to the field of biodiversity informatics, that this burgeoning area of data and tool development for biodiversity can attract the best and brightest students. p. 260",,,yes
Hine 2006,2006,Databases as Scientific Instruments and Their Role in the Ordering of Scientific Work,Social Studies of Science,"collaboration, database, ethnogrpahy, genome, information, laboratory, science",Journal paper,"Speculation on the implications of increased use of information and communication technologies in scientific research suggests that use of databases may change the processes and the outcomes of knowledge production. Most attention focuses on databases as a large-scale means of communicating research, but they can also be used on a much smaller scale as research tools. This paper presents an ethnographic study of the development of a mouse genome mapping resource organized around a database. Through an examination of the natural, social and digital orderings that arise in the construction of the resource, it argues that the use of databases in science, at least in this kind of project, is unlikely to produce wholesale change. Such changes as do occur in work practices, communication regimes and knowledge outcomes are dependent on the orderings that each database embodies and is embedded within. Instead of imposing its own computer logic, the database provides a focus for specifying and tying together particular natural and social orderings. The database does not act as an independent agent of change, but is an emergent structure that needs to be embedded in an appropriate set of work practices.",JSTOR,,,,,,,,no
Huang et al. 2013,2013,Biodiversity Data Sharing: Will Peer-Reviewed Data Papers Work?,BioScience,---,Viewpoint,---,JSTOR,Biodiversity,primary biodiversity data,survey,"The respondents claimed a weak culture of sharing within their scientific community (Figure 1b). African respondents reported the weakest climate of data sharing: they constituted the lowest percentage (5.9%, n = 1) of respondents who thought their colleagues wished to share data (χ2 = 18.51; P = 0.002) and the highest percentage (64.7%, n = 11) who thought their colleagues were ignorant about data sharing (χ2 = 19.65; P = 0.002). Europe ranked lowest for encouragement of data sharing by employers and funders (19.4%, n = 24; χ2 = 12.49; P = 0.03). However, the respondents whose affiliations and funding agencies encourage data sharing were more willing to share (Table S4). p. 401

Approximately half of the respondents preferred keeping primary data private beyond their first publication to conduct other analyses. A similar number of respondents indicated other obstacles to biodiversity data sharing, including conflicts of interests with colleagues (27.1%), lack of benefits (21.2%), weak sharing culture (28.8%), unfamiliarity with public databases (29.1%), and lack of user-friendly data submission tools (32.1%; Figure 1c). Many respondents voiced further concerns in their comments. For example, about 40% of the comments expressed a lack of time and funding to properly format, input, update, and otherwise manage their publicly available data. p. 401

When asked what benefits they expected from sharing data, nearly 90% (88.5%, n = 322) of respondents indicated the desire to contribute to scientific progress. More than one-third wanted credit (37.1%, n = 135) and higher citation rates (33.5%, n = 122). p. 401

Of the respondents who answered the question about established databases, over half knew of GBIF and EoL, more than one-third knew ofWikiSpecies (http://species. wikimedia.org/) and Species2000 (http://www.sp2000.org/), and relatively few knew of Dyrad (http:// datadryad.org/) and DataOne (https://www.dataone. org/; Figure 2a). Over three quarters (76.6%, n = 281) of respondents agreed that a small number of unified biodiversity databases using standard data format are needed. More than half (56.3%) thought GBIF best p.402

Respondents were asked whether a journal’s data archiving policy would influence their manuscript submission. Approximately one-fifth (21.3%) indicated that such a policy by a leading journal would influence them “very much,” whereas such a policy by a lower ranked journal would influence a smaller proportion of respondents “very much” (16.8%). A majority of respondents (at least 68.9% and 73.7% for leading and lower ranked journals) would accept journals’ data archiving policies (Figure 3a). When asked how long they would like to keep private their article-related data, 30% (30.4%) of respondents indicated they would prefer to keep their data private until they were completely finished with them. However, more respondents indicated that they would be willing tomake their data public as soon as related articles were published (38.6%) or after 1–3 years (Figure 3b). p. 403
Individual scientists are both data providers and data users during the research process. It is therefore critical that we understand what they are thinking and doing about sharing and archiving primary biodiversity data. To our knowledge, the results of this survey provide a first empirical view of these issues. p. 403

There seems to be a contradiction between two views: research data gathered with public funding should be made public, but the data gatherers deserve more benefits and better recognition for doing so. A major obstacle to sharing data revealed by our survey is researchers’ need for further analyses of their data. The other main obstacles include conflicts of interest with colleagues, lack of benefits, unfamiliarity with public databases, lack of user-friendly data submission tools, and insufficient time and funding. Some of these are common obstacles that other disciplines also face, as reported by a previous survey (Tenopir et al. 2011). In fact, barriers such as data retention for further analyses and conflicts of interest are directly related to the perceived benefits to the data sharers. p. 403

The present survey indicates that incentives such as receiving credit, coauthorship, and higher citation rates would encourage data sharing. The sharing of detailed research data may be associated with increased citation rates (Piwowar et al. 2007), but some respondents suggested data sharing be given greater weight in the assessment system for the professional productivity of researchers (see also Kueffer et al. 2011). As a possibility, statistics on the reuse or citation of publicly available data sets should be treated as are article citations. Recently, the development of a Data Usage Index has been proposed for improving the professional recognition in the biodiversity community (Ingwersen & Chavan 2011). In addition, we think data registry methods, for example an interoperable dataset identifier, can resolve data ownership or intellectual property rights and citation issues. Proper archiving methods and policies are necessary conditions to achieve the fundamental goal of sharing data. The survey results indicate a majority of respondents would accept data archiving policies by biodiversity and conservation journals (Huang & Qiao 2011; Whitlock 2011). They would prefer to make primary data public as soon as related articles are published or a short period of time thereafter. Many respondents consider that sharing the primary data supporting a publication is a simple ethical principle in science. There is also concern about the credibility of a article if the authors are reluctant to share their data. Although data archiving is routine for journals in some fields such as genetics, genomics, and biomedicine,many researchers still fail to publicly archive their data after publication (Noor et al. 2006; Alsheikh-Ali et al. 2011). p. 403

biodiversity databases should promote themselves and help improve researchers’ awareness of data sharing. Researchers expressed concerns about how to deal with their data easily and efficiently. The expectations for biodiversity databases included using standard formats, user-friendly submission tools, proper storage mechanisms for different types of biodiversity data, and collaboration between databases employing interchangeable data structures. Although many researchers agreed that a small number of unified databases are needed to effectively preserve biodiversity data, some also warn of oversimplifying data that is inherently complex. Database developers should address the concerns of data providers and data users to improve the usability and universality of biodiversity databases. In their In their comments, respondents also expressed concerns about data quality and reliability in public databases, taxonomic accuracy perhaps being the most important. Biodiversity databases should devise ways to resolve this problem (Page 2008; Patterson et al. 2010) and improve data management. The quality of data from journal articles can be partially guaranteed by rigorous data archiving policies. Theoretically, the quality of data from natural history collections and voucher specimens can be improved by continuous update by qualified taxonomic staff. However, insofar as the “taxonomic impediment” is a challenge to taxonomy as well as biodiversity science (Ebach et al. 2011). Strict joint data archiving policies by journals and databases and certain data standards would also help control data quality and preserve detailed metadata descriptions. p. 404

","More than 90% (91.8%, n = 338) of respondents agreed the sharing of biodiversity data is very important, 7.6% (n = 28) thought it of some importance, and two respondents thought it unimportant. Over 80% (84.3%, n = 311) of respondents agreed sharing article-related data is a basic responsibility, whereas 11.1% (n = 41) disagreed. A strong majority of respondents would be willing to share article-related data, but almost two-thirds would prefer not to share before publication (Figure 1a). p 401",,,no
Jacoby 2008,2008,Share and Share alike? Data-Sharing Practices in Differnet Disciplinary Domains,---,---,Conference Paper,---,JSTOR,library science,,none,,,Funding agencies increasingly require that researchers deposit their raw data in appropriate public archives –􀀁 facilitate the validation of results –􀀁enable secondary analysis & meta-analysis –􀀁ensure investment has greatest possible impact p. 3,,no
Leahey 2008,2008,Overseeing Research Practice: The Case of Data Editing,"Science, Technology, & Human Values","Data management, data cleaning, research oversight, scientific regulation",Journal paper,"This article examines whether and how a particular research practice is overseen and supervised, and by whom. This investigation fills notable gaps in the literature on science, including a lack of emphasis on larger sociopolitical structures, a neglect of regulation, and indifference toward ethics. The author focuses on the oversight of a particular research practice; data editing; which embodies qualities that are intriguing to sociologists of science: invisibility, uncertainty, heterogeneity, and reliance on tacit knowledge. These characteristics pose unique challenges to oversight efforts. An analysis of in-depth interviews with gatekeepers reveals that although the methodological and ethical implications of data editing strategies can be substantial, oversight of such practices falls outside the stages and domains of current gatekeeping activity. These findings serve as the basis for recommendations to ensure data integrity while maintaining the professional autonomy of researchers.",JSTOR,no particular discipline,not about data sharing in particular; but rather data management and ethics,qualitative interviews,"The way researchers edit their data can affect research findings, and if data edits are not reported or if they lend more support to researchers' hypotheses, ethical issues may also arise. In a recent medical study, half the data points were omitted from an analysis sample, and conclusions were drawn without mentioning that the conclusions are reversed when all data points are included (Shah 2002). In the social sciences, Peterson (1996) replicated Lenore Weitzman's (1985) analysis of the conse? quences of divorce for men and women and found that the gender gap in stan? dard of living was about half as large as Weitzman concluded. Kahn and Urdy (1986) also illustrated how data editing strategies can affect research findings by questioning the legitimacy of extremely high values in Jasso's (1985) study of coital frequency among married couples; their reanalysis completely reversed Jasso's finding that wife's age is positively related to a couple's sexual activity. Clearly, differences in managing and editing data can produce discrepant results and raise ethical concerns. p. 607

Encouraging a Broader Conception of Research Ethics p. 623",,,,no
Ludman et al. 2010,2010,Glad you asked: Participants' Opinions of Re-Consent for dbGaP Data Submission,J Empir Res Hum Res Ethics,informed consent; data sharing; dbGaP,Journal paper,"No consensus exists about when researchers need additional participant consent (re-consent) to submit existing data to the federal database of Genotypes and Phenotypes (dbGaP). Reconsent for submission of their data to dbGaP was sought from 1,340 study participants, 1,159 (86%) of whom agreed. We invited the first 400 of those who agreed to complete a telephone survey about their reasoning for their consent decision and their satisfaction with the re-consent process; 365 participants completed the survey. Respondents reported that it was very (69%) or somewhat (21%) important that they were asked for their permission. Many respondents considered alternatives to consent, such as notification-only or opt-out, to be unacceptable (67% and 40%, respectively). These results suggest that re-consent for dbGaP deposition may be advisable in certain cases to anticipate and honor participant preferences.",JSTOR,-,submitting existing data to federal databases,"In the ongoing ACT Study, randomly selected members age 65 and older in the greater Seattle area who show no evidence of dementia were invited to enroll. Cohort participants range in age from 65 to 102 and have been Group Health members for a median of 30 years prior to study enrollment (Kukull et al., 2002). The ACT Study enrolled 2,581 people between 1994 and 1996 and another 811 in 2000–2001. Since 2005, participants have been continuously enrolled to maintain a cohort size of approximately 2,000 persons. ACT Study participants receive biennial examinations to determine cognitive status. p. 3; Survey","At one extreme, one could argue that the public good of unrestricted biorepository research outweighs the rights of individual participants to choose whether to participate when the research presents a minimal risk to participants (Bathe & McGuire, 2009; Helgesson, Dillner, Carlson, Bartram, & Hansson, 2007). At the other extreme, one could argue that the autonomy interests of the research participants requires obtaining express permission or some other precautions for additional procedures that the original consent process did not specify, including submission of data to dbGaP (Greely, 2007). For researchers, practicability is a key consideration, as approaching research participants for additional permission can be time consuming and expensive (Colditz, 2009). p. 2

Lack of policy consensus on when re-consent is appropriate has been compounded by an absence of data on research participants' attitudes toward data sharing through dbGaP. p. 2",,"Participants in this study described “reasons against” as well as “reasons for” consenting to dbGaP-mediated data sharing, although – as demonstrated by the high rate of re-consent in this population – the balance tipped in favor of “reasons for.” Some participants acknowledged concerns such as privacy, confidentiality, and potential commercialization of research findings, but these concerns were outweighed by respondents' belief in the benefits of genomic research and trust in the ACT Study researchers and their respective institutions. p. 6",,no
Resnik 2010,2010,Genomic Research Data: Open vs. Restricted Access,IRB: ETHICS & HUMAN RESEARCH,---,Journal paper,---,JSTOR,-,,,"While openness is crucial to sci entific progress, maintaining the confidentiality of data is equally important in protecting the privacy of individuals who provide their biospecimens for genomic research. p. 1

tiality of research data.6 Unauthorized disclosure of confi dential information related to an individual's participation in research may cause significant harm, such as discrimination, bias, embarrassment, and anxiety. p. 1","Thus, insti tutions, investigators, and oversight committees have developed a vari ety of strategies for managing the conflict between maintaining the confidentiality of personal informa tion and ensuring the free and open exchange of research data. Two polar ends of the policy spec trum are the restricted access approach and the open access approach. Both approaches have distinct advantages and disadvantages. p. 1

The restricted access approach offers excellent protec tion for confidentiality, but it does so at the expense of potentially slowing the pace of scientific progress because investigators may find it difficult or burdensome to comply with the requirements for obtaining access to research data. p. 2

?; r nder the restricted access strate . gy, research data are shared only if the data recipients agree to specific terms and conditions. For example, the Framingham Heart Study?a prospective cohort study that now contains over 15,000 men and women from Framingham, Massachusetts?permits access to the research data only when certain conditions are met. Access is restricted to researchers who comply with requirements for use of the data, sign a data and materials use agreement, and have obtained insti tutional review board (IRB) approval for their study.9 Researchers are not allowed to iden tify the individuals from whom the data were obtained and may only use the data for research projects described in the signed agreement. They must take security measures to protect the use of electronic data, such as encryption and firewalls, and may not share the data with third parties. A committee reviews requests for access to data to ensure that the proposed research projects are well designed, scientifically important, and comply with the goals and standards of the Framingham Study.1 p. 2

The data may be coded or anonymized. If the data are coded, the researchers retain a code that links the data to specific individuals, but they do not share the code with people who request access to the data.11 If the data are anonymized, the researchers who collected the data have no method for linking the data to the individu als from whom the data were obtained. p. 2

1 dentify previously deidentified data, commentators have suggested several approaches to protecting the confidentiality of genomic research data. One approach is to limit the amount of genomic data that is pub licly released so that reidentification is not possible. There are two prob lems with this approach. First, there is no general formula for how much data to release, since how much is needed to identify an individual depends on the region of the genome, the rarity of variants, and other factors.25 Also, what can be safely released may change as science and technology advance. Second, releasing only a minimal amount of data may not provide researchers with what they need for genomic studies, therefore defeating the pur pose of public data release.26 Another approach is to statistically degrade the data to prevent reidenti fication of individuals. Like the first approach, this one would also com promise the usefulness of the data. third approach is for individu als who provide their DNA for research to consent to open release of their genomic data, with the knowledge that they can be or will be identified. Thus, they would relin quish traditional confidentiality pro tections in order to help promote biomedical research. p. 4

A fourth approach is the revised NIH policy for GWAS data, which involves moving from the open access model toward some type of restricted access to genomic data. This strategy can help to protect the confidentiality of individuals' genomic data and the confidentiality interests of their relatives. Though a restricted access model may impede or delay research by making it more difficult for some researchers to obtain access to data, these problems can be alleviated, in part, by devel oping policies that are not excessive ly restrictive; publicizing the avail ability of data; linking available p.5
",,"Even if the individual is not explicit ly identified it may be possible to use statistical methods to identify the individual and match him/her to a genetic database. A third method is to develop a profile of an individual from phenotypic and genetic data in databases, such as the individual's height, weight, gender, disease status, age, approximate skin pigmentation, eye color, and hair color [...] Access to aggregate GWAS data is now granted only to investigators and institutions that submit an appli cation to the data access committee and abide by the terms of the data use agreement. The NIH also urged other organizations to consider the policy implications of the recent developments indicating the ability to reidentify genomic  p. 4  

The risks of someone identifying an individual in aggregate, public genomic databases are extremely low at present because people are not likely to put forth the effort required to identify individuals. However, the risks of reidentification are likely to increase as science and technology advance and more identified data become available. Close family mem bers may be at risk as well because it may be possible to identify them and make inferences about their pheno types once an immediate genetic p. 4",yes
Rodgers & Nolte 2006,2006,Solving Problems of Disclosure Risk in An Academic Setting: Using A Combination of Restricted Data and Restricted Access Methods,Journal of Empirical Research on Human Research Ethics,"confidentiality; disclosure risk; restricted access, restricted data",Journal paper,"THE HEALTH AND RETIREMENT STUDY collects a vast amount of information about a sample of the U.S. population over age 50 from biennial interviews, supplemental questionnaires, and through linkages with administrative data including Social Security earnings and benefits records and Medicare claims records. To honor its pledge to the respondents that their data will be kept confidential, but at the same time meet its objective of providing useful data to researchers, it has developed procedures for stripping sensitive information (i.e., information that could facil- itate re-identification of sample members) from data sets that are publicly released, and also for providing mechanisms for qualified researchers to gain access to a variety of restricted-access data files. These mecha- nisms include a procedure whereby highly qualified researchers—in particular, only those who have a cur- rent grant from a federal agency—can apply to obtain restricted-access data sets for a limited amount of time, with the understanding that they will make no attempt to re-identify sample members and that they will be audited to ensure that they have adhered to the agreedupon safeguards. For those who meet some but not all of the requirements for receiving these data, the files can be analyzed in a data enclave (a controlled, secure environment in which eligible researchers can perform analyses). This paper focuses on approaches to restrict- ing data access that may need to be considered by inves- tigators who plan to share their data, and by their insti- tutional officials who will need to support that effort with appropriate infrastructure and policies. It also provides guidance to investigators and institutional review boards (IRBs) who seek access to restricted data generated and archived elsewhere.",JSTOR,-,disclosure risk,,,"public data release, partially public and restricted data release; 

restricted access to data, if: 
1. AFFILIATION WITH AN INSTITUTION WITH A DHHS-CERTIFIED HUMAN SUBJECTS REVIEW PROCESS; 
The institution with which the researcher is affiliated must have an institutional review board or human subjects review committee that is registered with the Department of Health and Human Services (DHHS). Only persons with permanent, faculty-level appointments at such insti- tutions may receive HRS restricted data sets. Although nearly all research colleges and
2. CURRENT RECEIPT OF FEDERAL RESEARCH FUNDS
The person(s) primarily responsible for the research project using HRS restricted data (referred to hereafter as the “restricted data investigator”) must be a current recipient, as a principal investigator or co-principal investigator, of research funds from an agency of the United States government
3. RESEARCH PROPOSAL Applicants for HRS restricted data must provide to HRS staff a short (1-3 page) research proposal that includes a synopsis (or a full statement, if necessary) of the
4. RESTRICTED DATA PROTECTION PLAN The application for restricted data must include a data protection plan. Detailed guidelines for developing a restricted data protection plan are provided on the HRS website.4 Generally this means that the applicant will need to investigate the mechanisms that are available at the site(s) at which the restricted data will be managed, ana- lyzed, and stored to meet HRS requirements.
5. HUMAN SUBJECTS REVIEW The chairperson of the institutional review board/ human subjects review committee at the applicant’s institution must certify that the board/committee has reviewed and approved the restricted data protection plan and any portions of the research plan that deal with respondent anonymity and data security, as approved by the Institute for Social Research (ISR), in accordance with the standards and procedures used for human subjects. p. 98-90

Why restricted data release: 
1. Restricted data can be used only for research and sta- tistical purposes, and the research plan must specify all of the research projects that will make use of the restricted data. It is not permitted, for example, for a faculty member to obtain the data for his or her own research project and then “lend” it to a graduate stu- dent to do related dissertation research, even if the graduate student is a research staff signatory, unless this use is specifically stated in the research plan. 2. The researcher must either destroy, or return to HRS, all versions of the restricted data and data derived from it, regardless of the form in which it exists (tapes, hard disk, diskettes, and other physical media) within 24 months, or such other period as is specified in the approved research plan, or upon a demand from HRS. Researchers who need addition- al time should make a formal written request for an extension at least 30 days prior to the expiration date, and HRS will give prompt consideration to such requests. However, neither the initial time period, nor any extension of it, may exceed the time period of the grant or contract under which the data are being analyzed. One implication of the time limit is that the research should assure that adequate time is available to do the data management and planned analysis. In brief, the researcher may not retain any copies of, or data derived from, the restricted data, after the conclusion of the contract period. HRS staff will, on request, store the physical media con- taining such data for the researcher for up to two years, so that it can be returned to that researcher if he or she obtains a second agreement for further analysis. 3. The investigator seeking access to restricted data must be a person who is a current principal investi- gator or a co-principal investigator of a current fed- eral agency research grant or contract. 4. The investigator must be affiliated with the receiv- ing institution with a position or title equivalent to a permanent tenured or tenure-track faculty member. 5. All co-investigators and research staff must have a formal affiliation with the receiving institution, and must specify that affiliation and job title in the sig- nature blocks of the agreement and supplemental agreement of research staff. If new persons become affiliated with the research project and are to have access to the restricted data, an additional supple- mental agreement of research staff must be signed by the new persons and the restricted data investi- gator, and approved by HRS staff, before the new person is given access to the restricted data. HRS permits individuals who were not original principal investigators or co-principal investigators on current federal research grants or contracts to be added to such a project as a co-principal investiga- tor and to become co-investigators on agreements for the use of restricted data from HRS, provided the principal investigator of the federal grant or con- tract signs the agreement as the restricted data investigator, and HRS is provided a copy of the feder- al agency’swritten approval of the addition of the new co-principalinvestigator. (The National Institute on Aging has indicated a willingness to facilitate the addition of persons as co-principal Investigators to existing NIA grants and contracts for purposes of facilitating access to HRS restricted data sets.) 6. The investigator’s institution must agree to treat vio- lations of this agreement, and allegations of such violations, as violations and allegations of violations of its policies on scientific integrity and misconduct, as to substance, procedures, and penalties. 7. The representative of the investigator’s institution who signs the Agreement must have the authority to bind the institution contractually.",,,yes
Whitlock et al. 2010,2010,Data archiving is a good investment,The American Naturalist,---,Editorial,---,JSTOR,-,editorial on data curation,no method,,"data curation: The data should be saved usually at the individual level, although what is most important is that the data be saved in a way that makes the most sense for later usability. Summary statistics (like means and standard deviations) are not sufficient, because they wouldn’t provide enough information for later analysis. At the same time, data in their rawest form, such as videotapes, field notebooks, or sequencing trace files, are not required. For example, if a study used videotape to determine the time required for animals to make a choice in a T-maze, the data should be recorded with the time for each subject. p. 146","Yet these data, even after the main results for which they were collected are published, are invaluable to science, for meta-analysis, new uses, and quality control. With the increasing use of meta-analysis to summarize multiple studies, it has become clear that necessary summary statistics are often not published. In many cases, a study can be used only if the original data are available to the metaanalysts. Furthermore, data often can be used in ways beyond the questions that sparked their collection; for example, many studies contain information that can serve later as a baseline for detecting population trends, even decades later. The availability of data for published studies also allows error checking, making science more open and letting us more rapidly reach accurate conclusions. Finally, papers that have had data archived are more useful to— and more cited by—other scientists. One study found that papers that archived their data were cited 69% more often than papers that did not (Piwowar et al. 2007). p. 145",,yes
Zimmerman 2008,2008,New Knowledge from Old Data: The Role of Standards in the Sharing and Reuse of Ecological Data,"Science, Technology, & Human Values",ata sharing;data reuse; ecology; objectivity;standardization,Journal paper,"This article analyzes the experiences of ecologists who used data they did not collect themselves. Specifically, The author examines the processes by which ecologists understand and assess the quality of the data they reuse, and investigates the role that standard methods of data collection play in these processes. Standardization is one means by which scientific knowledge is transported from local to public spheres. While standards can be helpful, the results show that knowledge of the local context is critical to ecologists' reuse of data. Yet, this information is often left behind as data move from the private to the public world. The knowledge that ecologists acquire through fieldwork enables them to recover the local details that are so critical to their comprehension of data collected by others. Social processes also play a role in ecologists' efforts to judge the quality of data they reuse.",JSTOR,ecology,ecology,Semi-structured in-depth interviews,"Wherever they work, ecologists are confronted with variance among individuals within a population, with the unpredictable character of the natural environment, and with immensely complex systems with large numbers of variables and many subtle interactions. For example, even with a field guide and specimens in hand it can be diff icult to distinguish one tr ee from another because a guidebook cannot show all the possible variations in leaves, bark, or structure that occur over time. The result is that ecological data are un usually complex, presenting daunting problems of interpretation and analysis that pose particular problems for secondary use (cf., Bowker 2000; Bowser 1986; NRC 1995, 1997). The culture of ecology also hampers the sharing and reuse of data. A relatively young science, ecology is currently characterized by modest single investigator studies conducted at limited spatial and temporal scales (NRC 1995). Ecologists do not have an established infrastructure for sharing data, although efforts are underway to change this (Michener et al. 1997; Jones et al. 2001). In general, sharing takes place between close associates and relies heavily on social interaction (Committee on the Future of Long- term Ecological Data 1995). The reasons for this are complex and include few incentives for ecologists to share and a culture that values creative and independent research above secondary use of data p. 637

The special importance of field-based insights is reflected in the similarresponses I received when I asked ecologists if they felt it was necessary tohave collected their own data to understand data collected by others. Thisquestion encouraged ecologists to consider what distinguishes them fromscientists in other fields, and it provided a view into the aspects of theirknowledge that they drew from to reuse data. Ecologists often took theirspecialized knowledge for granted. p. 638","Ecologists discussed the importance of knowing that the purpose for which data were gatheres guides appropriate reuse of them p. 643

Dealing with Uncertainty Data comprehension is closely related to many assessments ecologists make about the quality of data they consider for reuse. The ability to visualize data collection and to understand where errors can occur is a key aspect of ecologists’ abilities to judge data quality p. 644

Focusing on the Object of Study The variability of specific parameters in nature affects how “easy” data are to collect and ecologists weighed this factor when they made data reuse decisions. Fricker (2002, 382) described this as trust based on empirical knowledge “of whether the topic is one about which people are generally trustworthy.” In this case, the object that is being observed or measured is the focus of attention. For example, Michael chose to exclude a certain phylum from the zooplankton data he acquired because he knew that they are hard to identify. p. 644

Focusing on the Data Collector When data are difficult to collect or tolerance for data uncertainty is low, ecologists call on other, more personal, insights from the field to assess the trustwor thiness of data sources. In these cases, the first focus of their scrutiny is on who originally collected the data. Since judgments about an unknown data collector’s skill are often difficult to assess based on informa- tion that accompanies data, it is not surprising that firsthand knowledge of the skills or values of other scientists, whether positive or negative, enters into reuse decisions. For example, Stephen spoke about “commitment to the organisms” when he explained to me why he used species lists generated by scientific programs that he was familiar with and that had been around for a long time p. 646",,,yes
